"","Temp","Exp","Calc","Molecule"
"1",10,3.653,3.295,"PENTADECANE"
"2",15,3.222,2.977,"PENTADECANE"
"3",20,2.864,2.699,"PENTADECANE"
"4",25,2.56,2.455,"PENTADECANE"
"5",30,2.303,2.24,"PENTADECANE"
"6",35,2.084,2.05,"PENTADECANE"
"7",40,1.894,1.882,"PENTADECANE"
"8",45,1.73,1.732,"PENTADECANE"
"9",50,1.586,1.598,"PENTADECANE"
"10",55,1.46,1.478,"PENTADECANE"
"11",60,1.349,1.37,"PENTADECANE"
"12",65,1.25,1.273,"PENTADECANE"
"13",70,1.162,1.185,"PENTADECANE"
"14",75,1.084,1.106,"PENTADECANE"
"15",80,1.014,1.034,"PENTADECANE"
"16",85,0.95,0.969,"PENTADECANE"
"17",90,0.893,0.909,"PENTADECANE"
"18",95,0.84,0.854,"PENTADECANE"
"19",100,0.792,0.804,"PENTADECANE"
"20",105,0.749,0.759,"PENTADECANE"
"21",110,0.709,0.716,"PENTADECANE"
"22",115,0.672,0.678,"PENTADECANE"
"23",120,0.638,0.642,"PENTADECANE"
"24",125,0.607,0.609,"PENTADECANE"
"25",130,0.578,0.578,"PENTADECANE"
"26",135,0.551,0.55,"PENTADECANE"
"27",140,0.526,0.523,"PENTADECANE"
"28",145,0.503,0.499,"PENTADECANE"
"29",150,0.482,0.476,"PENTADECANE"
"30",155,0.461,0.455,"PENTADECANE"
"31",160,0.442,0.435,"PENTADECANE"
"32",165,0.424,0.417,"PENTADECANE"
"33",170,0.408,0.399,"PENTADECANE"
"34",175,0.392,0.383,"PENTADECANE"
"35",180,0.377,0.368,"PENTADECANE"
"36",185,0.363,0.353,"PENTADECANE"
"37",190,0.35,0.34,"PENTADECANE"
"38",195,0.337,0.327,"PENTADECANE"
"39",200,0.325,0.315,"PENTADECANE"
"40",205,0.314,0.304,"PENTADECANE"
"41",210,0.303,0.293,"PENTADECANE"
"42",215,0.292,0.283,"PENTADECANE"
"43",220,0.282,0.273,"PENTADECANE"
"44",225,0.273,0.264,"PENTADECANE"
"45",230,0.263,0.256,"PENTADECANE"
"46",235,0.254,0.248,"PENTADECANE"
"47",240,0.246,0.24,"PENTADECANE"
"48",245,0.238,0.232,"PENTADECANE"
"49",250,0.23,0.225,"PENTADECANE"
"50",255,0.223,0.219,"PENTADECANE"
"51",260,0.216,0.212,"PENTADECANE"
"52",265,0.209,0.206,"PENTADECANE"
"53",270,0.202,0.201,"PENTADECANE"
