"X","Temp","Exp","Calc","Molecule"
"1",13.4,0.441,0.443,"HEPTANE"
"2",21.7,0.402,0.402,"HEPTANE"
"3",30.3,0.368,0.366,"HEPTANE"
"4",38.3,0.339,0.337,"HEPTANE"
"5",47.3,0.311,0.309,"HEPTANE"
"6",55.0,0.289,0.287,"HEPTANE"
"7",62.0,0.271,0.27,"HEPTANE"
"8",70.1,0.252,0.252,"HEPTANE"
"9",77.7,0.237,0.236,"HEPTANE"
"10",85.5,0.221,0.222,"HEPTANE"
"11",92.2,0.209,0.212,"HEPTANE"
"12",0.0,0.524,0.525,"HEPTANE"
"13",17.0,0.461,0.425,"HEPTANE"
"14",20.0,0.409,0.41,"HEPTANE"
"15",25.0,0.386,0.388,"HEPTANE"
"16",40.0,0.341,0.331,"HEPTANE"
"17",-90.0,3.77,3.079,"HEPTANE"
"18",-85.0,3.11,2.669,"HEPTANE"
"19",-80.0,2.61,2.331,"HEPTANE"
"20",-75.0,2.22,2.05,"HEPTANE"
"21",-70.0,1.912,1.815,"HEPTANE"
"22",-65.0,1.67,1.615,"HEPTANE"
"23",-60.0,1.472,1.446,"HEPTANE"
"24",-55.0,1.31,1.301,"HEPTANE"
"25",-50.0,1.174,1.176,"HEPTANE"
"26",-45.0,1.06,1.068,"HEPTANE"
"27",-40.0,0.962,0.973,"HEPTANE"
"28",-35.0,0.879,0.891,"HEPTANE"
"29",-30.0,0.807,0.818,"HEPTANE"
"30",-25.0,0.744,0.754,"HEPTANE"
"31",-20.0,0.69,0.697,"HEPTANE"
"32",-15.0,0.641,0.647,"HEPTANE"
"33",-10.0,0.597,0.602,"HEPTANE"
"34",-5.0,0.559,0.561,"HEPTANE"
"35",0.0,0.524,0.525,"HEPTANE"
"36",5.0,0.494,0.492,"HEPTANE"
"37",10.0,0.465,0.462,"HEPTANE"
"38",15.0,0.44,0.435,"HEPTANE"
"39",20.0,0.417,0.41,"HEPTANE"
"40",25.0,0.396,0.388,"HEPTANE"
"41",30.0,0.376,0.367,"HEPTANE"
"42",35.0,0.358,0.349,"HEPTANE"
"43",40.0,0.342,0.331,"HEPTANE"
"44",45.0,0.327,0.315,"HEPTANE"
"45",50.0,0.312,0.301,"HEPTANE"
"46",55.0,0.299,0.287,"HEPTANE"
"47",60.0,0.286,0.274,"HEPTANE"
"48",65.0,0.274,0.263,"HEPTANE"
"49",70.0,0.263,0.252,"HEPTANE"
"50",75.0,0.253,0.242,"HEPTANE"
"51",80.0,0.243,0.232,"HEPTANE"
"52",85.0,0.233,0.223,"HEPTANE"
"53",90.0,0.225,0.215,"HEPTANE"
"54",95.0,0.216,0.207,"HEPTANE"
