"","X","Temp","Exp","Calc","Molecule"
"1",154,0.3,0.7,0.716,"OCTANE"
"2",155,12.2,0.594,0.606,"OCTANE"
"3",156,22.9,0.52,0.528,"OCTANE"
"4",157,33,0.463,0.468,"OCTANE"
"5",158,43.9,0.411,0.414,"OCTANE"
"6",159,54.7,0.367,0.369,"OCTANE"
"7",160,66.5,0.328,0.329,"OCTANE"
"8",161,77.8,0.296,0.297,"OCTANE"
"9",162,88.3,0.269,0.271,"OCTANE"
"10",163,98.5,0.247,0.249,"OCTANE"
"11",164,109.1,0.227,0.23,"OCTANE"
"12",165,122.1,0.204,0.209,"OCTANE"
"13",166,0,0.706,0.719,"OCTANE"
"14",167,16,0.574,0.576,"OCTANE"
"15",168,20,0.542,0.547,"OCTANE"
"16",169,40,0.433,0.432,"OCTANE"
"17",170,-55,2.12,1.967,"OCTANE"
"18",171,-50,1.86,1.758,"OCTANE"
"19",172,-45,1.64,1.58,"OCTANE"
"20",173,-40,1.46,1.426,"OCTANE"
"21",174,-35,1.31,1.293,"OCTANE"
"22",175,-30,1.18,1.176,"OCTANE"
"23",176,-25,1.071,1.075,"OCTANE"
"24",177,-20,0.978,0.985,"OCTANE"
"25",178,-15,0.897,0.907,"OCTANE"
"26",179,-10,0.826,0.837,"OCTANE"
"27",180,-5,0.764,0.774,"OCTANE"
"28",181,0,0.71,0.719,"OCTANE"
"29",182,5,0.661,0.669,"OCTANE"
"30",183,10,0.618,0.624,"OCTANE"
"31",184,15,0.58,0.584,"OCTANE"
"32",185,20,0.545,0.547,"OCTANE"
"33",186,25,0.513,0.514,"OCTANE"
"34",187,30,0.486,0.484,"OCTANE"
"35",188,35,0.46,0.457,"OCTANE"
"36",189,40,0.436,0.432,"OCTANE"
"37",190,45,0.414,0.409,"OCTANE"
"38",191,50,0.394,0.388,"OCTANE"
"39",192,55,0.375,0.368,"OCTANE"
"40",193,60,0.358,0.35,"OCTANE"
"41",194,65,0.342,0.334,"OCTANE"
"42",195,70,0.327,0.318,"OCTANE"
"43",196,75,0.313,0.304,"OCTANE"
"44",197,80,0.3,0.291,"OCTANE"
"45",198,85,0.288,0.279,"OCTANE"
"46",199,90,0.276,0.267,"OCTANE"
"47",200,95,0.265,0.257,"OCTANE"
"48",201,100,0.255,0.247,"OCTANE"
"49",202,105,0.245,0.237,"OCTANE"
"50",203,110,0.236,0.228,"OCTANE"
"51",204,115,0.227,0.22,"OCTANE"
"52",205,120,0.219,0.213,"OCTANE"
