"","Temp","Exp","Calc","Molecule"
"1","-175","0.982","1.012","ETHANE"
"2","-170","0.803","0.85","ETHANE"
"3","-165","0.671","0.726","ETHANE"
"4","-160","0.572","0.628","ETHANE"
"5","-155","0.499","0.551","ETHANE"
"6","-150","0.441","0.488","ETHANE"
"7","-145","0.397","0.436","ETHANE"
"8","-140","0.358","0.393","ETHANE"
"9","-135","0.327","0.357","ETHANE"
"10","-130","0.3","0.327","ETHANE"
"11","-125","0.277","0.301","ETHANE"
"12","-120","0.256","0.278","ETHANE"
"13","-115","0.237","0.259","ETHANE"
"14","-110","0.221","0.242","ETHANE"
"15","-105","0.206","0.227","ETHANE"
"16","-100","0.194","0.213","ETHANE"
"17","-95","0.183","0.201","ETHANE"
"18","-90","0.172","0.191","ETHANE"
"19","-185","8.75","5.938","PROPANE"
"20","-180","5.942","4.402","PROPANE"
"21","-175","4.248","3.364","PROPANE"
"22","-170","3.17","2.639","PROPANE"
"23","-165","2.453","2.118","PROPANE"
"24","-160","1.954","1.732","PROPANE"
"25","-155","1.595","1.441","PROPANE"
"26","-150","1.336","1.217","PROPANE"
"27","-145","1.137","1.042","PROPANE"
"28","-140","0.981","0.902","PROPANE"
"29","-135","0.859","0.789","PROPANE"
"30","-130","0.76","0.697","PROPANE"
"31","-125","0.679","0.621","PROPANE"
"32","-120","0.612","0.557","PROPANE"
"33","-115","0.556","0.503","PROPANE"
"34","-110","0.509","0.458","PROPANE"
"35","-105","0.468","0.418","PROPANE"
"36","-100","0.432","0.385","PROPANE"
"37","-95","0.401","0.355","PROPANE"
"38","-90","0.373","0.329","PROPANE"
"39","-85","0.349","0.307","PROPANE"
"40","-80","0.326","0.287","PROPANE"
"41","-75","0.306","0.269","PROPANE"
"42","-70","0.287","0.253","PROPANE"
"43","-65","0.271","0.239","PROPANE"
"44","-60","0.255","0.226","PROPANE"
"45","-55","0.241","0.214","PROPANE"
"46","-50","0.228","0.204","PROPANE"
"47","-45","0.215","0.194","PROPANE"
"48","-90","0.628","0.585","BUTANE"
"49","-85","0.578","0.535","BUTANE"
"50","-80","0.534","0.491","BUTANE"
"51","-75","0.496","0.452","BUTANE"
"52","-70","0.461","0.418","BUTANE"
"53","-65","0.43","0.389","BUTANE"
"54","-60","0.402","0.362","BUTANE"
"55","-55","0.377","0.339","BUTANE"
"56","-50","0.354","0.318","BUTANE"
"57","-45","0.334","0.299","BUTANE"
"58","-40","0.314","0.282","BUTANE"
"59","-35","0.297","0.266","BUTANE"
"60","-30","0.281","0.252","BUTANE"
"61","-25","0.266","0.24","BUTANE"
"62","-20","0.252","0.228","BUTANE"
"63","-15","0.24","0.217","BUTANE"
"64","-10","0.228","0.208","BUTANE"
"65","-5","0.218","0.199","BUTANE"
"66","0","0.282","0.269","PENTANE"
"67","10","0.255","0.244","PENTANE"
"68","20","0.232","0.223","PENTANE"
"69","30","0.211","0.205","PENTANE"
"70","0","0.289","0.269","PENTANE"
"71","20","0.24","0.223","PENTANE"
"72","-125","2.89","2.728","PENTANE"
"73","-120","2.35","2.312","PENTANE"
"74","-115","1.96","1.981","PENTANE"
"75","-110","1.66","1.713","PENTANE"
"76","-105","1.43","1.494","PENTANE"
"77","-100","1.24","1.313","PENTANE"
"78","-95","1.09","1.163","PENTANE"
"79","-90","0.97","1.037","PENTANE"
"80","-85","0.871","0.93","PENTANE"
"81","-80","0.788","0.839","PENTANE"
"82","-75","0.717","0.76","PENTANE"
"83","-70","0.657","0.693","PENTANE"
"84","-65","0.605","0.634","PENTANE"
"85","-60","0.56","0.582","PENTANE"
"86","-55","0.52","0.537","PENTANE"
"87","-50","0.485","0.497","PENTANE"
"88","-45","0.454","0.462","PENTANE"
"89","-40","0.427","0.431","PENTANE"
"90","-35","0.401","0.403","PENTANE"
"91","-30","0.379","0.377","PENTANE"
"92","-25","0.358","0.355","PENTANE"
"93","-20","0.34","0.334","PENTANE"
"94","-15","0.323","0.315","PENTANE"
"95","-10","0.307","0.298","PENTANE"
"96","-5","0.293","0.283","PENTANE"
"97","0","0.279","0.269","PENTANE"
"98","5","0.267","0.256","PENTANE"
"99","10","0.255","0.244","PENTANE"
"100","15","0.245","0.233","PENTANE"
"101","20","0.235","0.223","PENTANE"
"102","25","0.225","0.214","PENTANE"
"103","30","0.216","0.205","PENTANE"
"104","35","0.207","0.197","PENTANE"
"105","0.8","0.393","0.374","HEXANE"
"106","9.1","0.358","0.341","HEXANE"
"107","14.8","0.337","0.321","HEXANE"
"108","20","0.32","0.304","HEXANE"
"109","25.4","0.303","0.288","HEXANE"
"110","30.2","0.289","0.275","HEXANE"
"111","36.8","0.272","0.259","HEXANE"
"112","43.5","0.255","0.244","HEXANE"
"113","47.4","0.247","0.236","HEXANE"
"114","58.8","0.223","0.215","HEXANE"
"115","63.6","0.214","0.207","HEXANE"
"116","0","0.401","0.378","HEXANE"
"117","20","0.326","0.304","HEXANE"
"118","25","0.294","0.289","HEXANE"
"119","40","0.271","0.251","HEXANE"
"120","50","0.248","0.231","HEXANE"
"121","-95","2.14","2.064","HEXANE"
"122","-90","1.83","1.807","HEXANE"
"123","-85","1.58","1.592","HEXANE"
"124","-80","1.38","1.413","HEXANE"
"125","-75","1.22","1.261","HEXANE"
"126","-70","1.09","1.132","HEXANE"
"127","-65","0.975","1.021","HEXANE"
"128","-60","0.885","0.926","HEXANE"
"129","-55","0.806","0.843","HEXANE"
"130","-50","0.738","0.771","HEXANE"
"131","-45","0.68","0.708","HEXANE"
"132","-40","0.63","0.652","HEXANE"
"133","-35","0.582","0.603","HEXANE"
"134","-30","0.542","0.56","HEXANE"
"135","-25","0.51","0.521","HEXANE"
"136","-20","0.479","0.486","HEXANE"
"137","-15","0.45","0.454","HEXANE"
"138","-10","0.425","0.426","HEXANE"
"139","-5","0.401","0.401","HEXANE"
"140","0","0.38","0.378","HEXANE"
"141","5","0.36","0.357","HEXANE"
"142","10","0.343","0.338","HEXANE"
"143","15","0.327","0.32","HEXANE"
"144","20","0.312","0.304","HEXANE"
"145","25","0.298","0.289","HEXANE"
"146","30","0.285","0.276","HEXANE"
"147","35","0.273","0.263","HEXANE"
"148","40","0.261","0.251","HEXANE"
"149","45","0.251","0.241","HEXANE"
"150","50","0.241","0.231","HEXANE"
"151","55","0.231","0.221","HEXANE"
"152","60","0.222","0.213","HEXANE"
"153","65","0.213","0.205","HEXANE"
"154","0.3","0.700","0.716","OCTANE"
"155","12.2","0.594","0.606","OCTANE"
"156","22.9","0.520","0.528","OCTANE"
"157","33.0","0.463","0.468","OCTANE"
"158","43.9","0.411","0.414","OCTANE"
"159","54.7","0.367","0.369","OCTANE"
"160","66.5","0.328","0.329","OCTANE"
"161","77.8","0.296","0.297","OCTANE"
"162","88.3","0.269","0.271","OCTANE"
"163","98.5","0.247","0.249","OCTANE"
"164","109.1","0.227","0.230","OCTANE"
"165","122.1","0.204","0.209","OCTANE"
"166","0.0","0.706","0.719","OCTANE"
"167","16.0","0.574","0.576","OCTANE"
"168","20.0","0.542","0.547","OCTANE"
"169","40.0","0.433","0.432","OCTANE"
"170","-55.0","2.120","1.967","OCTANE"
"171","-50.0","1.86","1.758","OCTANE"
"172","-45.0","1.640","1.58","OCTANE"
"173","-40.0","1.460","1.426","OCTANE"
"174","-35.0","1.31","1.293","OCTANE"
"175","-30.0","1.180","1.176","OCTANE"
"176","-25.0","1.071","1.075","OCTANE"
"177","-20.0","0.978","0.985","OCTANE"
"178","-15.0","0.897","0.907","OCTANE"
"179","-10.0","0.826","0.837","OCTANE"
"180","-5.0","0.764","0.774","OCTANE"
"181","0.0","0.710","0.719","OCTANE"
"182","5.0","0.661","0.669","OCTANE"
"183","10.0","0.618","0.624","OCTANE"
"184","15.0","0.580","0.584","OCTANE"
"185","20.0","0.545","0.547","OCTANE"
"186","25.0","0.513","0.514","OCTANE"
"187","30.0","0.486","0.484","OCTANE"
"188","35.0","0.460","0.457","OCTANE"
"189","40.0","0.436","0.432","OCTANE"
"190","45.0","0.414","0.409","OCTANE"
"191","50.0","0.394","0.388","OCTANE"
"192","55.0","0.375","0.368","OCTANE"
"193","60.0","0.358","0.350","OCTANE"
"194","65.0","0.342","0.334","OCTANE"
"195","70.0","0.327","0.318","OCTANE"
"196","75.0","0.313","0.304","OCTANE"
"197","80.0","0.300","0.291","OCTANE"
"198","85.0","0.288","0.279","OCTANE"
"199","90.0","0.276","0.267","OCTANE"
