Temp,Exp,Calc,Molecule
-175,0.982,1.012,ETHANE
-170,0.803,0.85,ETHANE
-165,0.671,0.726,ETHANE
-160,0.572,0.628,ETHANE
-155,0.499,0.551,ETHANE
-150,0.441,0.488,ETHANE
-145,0.397,0.436,ETHANE
-140,0.358,0.393,ETHANE
-135,0.327,0.357,ETHANE
-130,0.3,0.327,ETHANE
-125,0.277,0.301,ETHANE
-120,0.256,0.278,ETHANE
-115,0.237,0.259,ETHANE
-110,0.221,0.242,ETHANE
-105,0.206,0.227,ETHANE
-100,0.194,0.213,ETHANE
-95,0.183,0.201,ETHANE
-90,0.172,0.191,ETHANE
-185,8.75,5.938,PROPANE
-180,5.942,4.402,PROPANE
-175,4.248,3.364,PROPANE
-170,3.17,2.639,PROPANE
-165,2.453,2.118,PROPANE
-160,1.954,1.732,PROPANE
-155,1.595,1.441,PROPANE
-150,1.336,1.217,PROPANE
-145,1.137,1.042,PROPANE
-140,0.981,0.902,PROPANE
-135,0.859,0.789,PROPANE
-130,0.76,0.697,PROPANE
-125,0.679,0.621,PROPANE
-120,0.612,0.557,PROPANE
-115,0.556,0.503,PROPANE
-110,0.509,0.458,PROPANE
-105,0.468,0.418,PROPANE
-100,0.432,0.385,PROPANE
-95,0.401,0.355,PROPANE
-90,0.373,0.329,PROPANE
-85,0.349,0.307,PROPANE
-80,0.326,0.287,PROPANE
-75,0.306,0.269,PROPANE
-70,0.287,0.253,PROPANE
-65,0.271,0.239,PROPANE
-60,0.255,0.226,PROPANE
-55,0.241,0.214,PROPANE
-50,0.228,0.204,PROPANE
-45,0.215,0.194,PROPANE
-90,0.628,0.585,BUTANE
-85,0.578,0.535,BUTANE
-80,0.534,0.491,BUTANE
-75,0.496,0.452,BUTANE
-70,0.461,0.418,BUTANE
-65,0.43,0.389,BUTANE
-60,0.402,0.362,BUTANE
-55,0.377,0.339,BUTANE
-50,0.354,0.318,BUTANE
-45,0.334,0.299,BUTANE
-40,0.314,0.282,BUTANE
-35,0.297,0.266,BUTANE
-30,0.281,0.252,BUTANE
-25,0.266,0.24,BUTANE
-20,0.252,0.228,BUTANE
-15,0.24,0.217,BUTANE
-10,0.228,0.208,BUTANE
-5,0.218,0.199,BUTANE
0,0.282,0.269,PENTANE
10,0.255,0.244,PENTANE
20,0.232,0.223,PENTANE
30,0.211,0.205,PENTANE
0,0.289,0.269,PENTANE
20,0.24,0.223,PENTANE
-125,2.89,2.728,PENTANE
