"","X","Temp","Exp","Calc","Molecule"
"1",66,0,0.282,0.269,"PENTANE"
"2",67,10,0.255,0.244,"PENTANE"
"3",68,20,0.232,0.223,"PENTANE"
"4",69,30,0.211,0.205,"PENTANE"
"5",70,0,0.289,0.269,"PENTANE"
"6",71,20,0.24,0.223,"PENTANE"
"7",72,-125,2.89,2.728,"PENTANE"
"8",73,-120,2.35,2.312,"PENTANE"
"9",74,-115,1.96,1.981,"PENTANE"
"10",75,-110,1.66,1.713,"PENTANE"
"11",76,-105,1.43,1.494,"PENTANE"
"12",77,-100,1.24,1.313,"PENTANE"
"13",78,-95,1.09,1.163,"PENTANE"
"14",79,-90,0.97,1.037,"PENTANE"
"15",80,-85,0.871,0.93,"PENTANE"
"16",81,-80,0.788,0.839,"PENTANE"
"17",82,-75,0.717,0.76,"PENTANE"
"18",83,-70,0.657,0.693,"PENTANE"
"19",84,-65,0.605,0.634,"PENTANE"
"20",85,-60,0.56,0.582,"PENTANE"
"21",86,-55,0.52,0.537,"PENTANE"
"22",87,-50,0.485,0.497,"PENTANE"
"23",88,-45,0.454,0.462,"PENTANE"
"24",89,-40,0.427,0.431,"PENTANE"
"25",90,-35,0.401,0.403,"PENTANE"
"26",91,-30,0.379,0.377,"PENTANE"
"27",92,-25,0.358,0.355,"PENTANE"
"28",93,-20,0.34,0.334,"PENTANE"
"29",94,-15,0.323,0.315,"PENTANE"
"30",95,-10,0.307,0.298,"PENTANE"
"31",96,-5,0.293,0.283,"PENTANE"
"32",97,0,0.279,0.269,"PENTANE"
"33",98,5,0.267,0.256,"PENTANE"
"34",99,10,0.255,0.244,"PENTANE"
"35",100,15,0.245,0.233,"PENTANE"
"36",101,20,0.235,0.223,"PENTANE"
"37",102,25,0.225,0.214,"PENTANE"
"38",103,30,0.216,0.205,"PENTANE"
"39",104,35,0.207,0.197,"PENTANE"
