"","X","Temp","Exp","Calc","Molecule"
"1",19,-185,8.75,5.938,"PROPANE"
"2",20,-180,5.942,4.402,"PROPANE"
"3",21,-175,4.248,3.364,"PROPANE"
"4",22,-170,3.17,2.639,"PROPANE"
"5",23,-165,2.453,2.118,"PROPANE"
"6",24,-160,1.954,1.732,"PROPANE"
"7",25,-155,1.595,1.441,"PROPANE"
"8",26,-150,1.336,1.217,"PROPANE"
"9",27,-145,1.137,1.042,"PROPANE"
"10",28,-140,0.981,0.902,"PROPANE"
"11",29,-135,0.859,0.789,"PROPANE"
"12",30,-130,0.76,0.697,"PROPANE"
"13",31,-125,0.679,0.621,"PROPANE"
"14",32,-120,0.612,0.557,"PROPANE"
"15",33,-115,0.556,0.503,"PROPANE"
"16",34,-110,0.509,0.458,"PROPANE"
"17",35,-105,0.468,0.418,"PROPANE"
"18",36,-100,0.432,0.385,"PROPANE"
"19",37,-95,0.401,0.355,"PROPANE"
"20",38,-90,0.373,0.329,"PROPANE"
"21",39,-85,0.349,0.307,"PROPANE"
"22",40,-80,0.326,0.287,"PROPANE"
"23",41,-75,0.306,0.269,"PROPANE"
"24",42,-70,0.287,0.253,"PROPANE"
"25",43,-65,0.271,0.239,"PROPANE"
"26",44,-60,0.255,0.226,"PROPANE"
"27",45,-55,0.241,0.214,"PROPANE"
"28",46,-50,0.228,0.204,"PROPANE"
"29",47,-45,0.215,0.194,"PROPANE"
